@relation mass_shootings_data
%@attribute title String 
%@attribute location String
%@attribute summary string
@attribute fatalities numeric
@attribute injuries numeric
@attribute total_victims numeric
@attribute mental_health_issues {Yes,No,Unknown}
@attribute race {White_American,Black_American,Asian,Asian_American,Mexican,Unknown,Native_American,Other}
@attribute gender {Male,Female,Unknown,Male/Female}
@attribute Date date 'yyyy/MM/dd'
@attribute latitude real
@attribute longitude real

@data
2,3,4,'No','White_American','Male',2016/02/20,34.7404,-88.1383
6,0,5,'No','White_American','Male',2016/01/27,36.7921,-76.3293
16,21,35,'No','Asian_American','Male/Female',2015/12/02,34.13973446,-117.2942444
0,5,5,'No','White_American','Male',2015/11/23,44.96358722,-93.26783687
6,0,6,'No','White_American','Male',2015/11/15,31.8076,-95.8069
4,0,3,'No','Unknown','Male',2015/11/04,44.54994725,-69.70782299
4,0,3,'No','White_American','Male',2015/10/31,38.86730659,-104.7572279
1,3,4,'No','White_American','Male',2015/10/09,35.1725658,-111.6585435
10,7,16,'No','Other','Male',2015/10/01,43.22205555,-123.3522367
3,1,3,'Unknown','White_American','Male',2015/10/01,29.03270634,-82.65919302
5,0,4,'Unknown','White_American','Male',2015/09/10,47.69618799,-95.42844094
3,1,3,'Unknown','Black_American','Male',2015/08/26,37.27823366,-79.95816104
0,4,4,'Unknown','Black_American','Male',2015/06/20,34.86379864,-79.9996781
3,2,4,'Unknown','White_American','Male',2015/05/31,33.66086267,-84.02688527
1,3,4,'Unknown','Black_American','Male',2015/05/10,40.73169648,-74.18417699
0,4,4,'Unknown','Black_American','Male',2015/04/03,29.19313443,-81.10173014
4,0,3,'Unknown','Asian_American','Male',2015/03/30,36.13543238,-95.91316117
2,2,3,'Unknown','Unknown','Male',2015/03/19,36.44329,-108.723281
1,5,6,'Unknown','White_American','Male',2015/03/18,33.42268696,-111.8163202
2,3,5,'Unknown','Black_American','Male',2015/03/13,31.58036482,-90.44323475
4,0,3,'Unknown','Black_American','Male',2015/02/28,35.90434471,-77.55639964
1,2,3,'Unknown','Black_American','Male',2015/02/27,33.5282865,-86.79550448
8,1,8,'Unknown','White_American','Male',2015/02/26,37.204442,-91.876583
3,1,4,'Unknown','White_American','Male/Female',2015/02/09,28.24653304,-82.71690259
0,6,6,'Unknown','Black_American','Male',2015/02/01,43.04093416,-76.14376763
3,1,4,'Unknown','Asian_American','Male',2015/01/10,46.73059479,-116.9990042
0,5,5,'Unknown','Black_American','Male',2015/01/01,35.10528976,-89.97734924
7,1,7,'Unknown','White_American','Male',2014/12/15,40.39359306,-75.49640881
5,0,4,'Unknown','White_American','Male',2014/12/01,39.63400851,-79.94839325
1,3,3,'Unknown','Black_American','Male',2014/11/19,30.4549394,-84.25264151
5,1,5,'Unknown','Native_American','Male',2014/10/24,48.04802409,-122.1359622
2,3,4,'Unknown','Other','Male',2014/08/08,35.15290522,-106.7791378
5,0,3,'Unknown','White_American','Male/Female',2014/06/08,36.18931923,-115.3264875
6,13,19,'Unknown','White_American','Male',2014/05/23,?,?
3,12,15,'Unknown','Mexican','Male',2014/04/03,?,?
0,8,8,'Unknown','Black_American','Male',2014/03/23,37.75457839,-122.4424343
3,5,8,'Unknown','Black_American','Male',2013/12/28,32.34729571,-86.26730242
1,3,4,'Unknown','White_American','Male',2013/11/01,34.17622092,-118.5399542
13,3,15,'Unknown','Black_American','Male',2013/09/16,38.90480894,-77.01629717
4,0,4,'Unknown','White_American','Male',2013/08/14,35.46779189,-97.5191631
4,4,8,'Unknown','Black_American','Male',2013/08/07,32.79480596,-96.76631094
3,3,6,'Unknown','White_American','Male',2013/08/05,39.75344279,-79.08435956
6,3,8,'Unknown','White_American','Male',2013/06/07,34.02319149,-118.4815644
7,1,7,'Unknown','White_American','Male',2013/04/24,39.54231335,-90.33029852
5,0,4,'Unknown','Black_American','Male',2013/04/21,47.30909721,-122.3357553
5,2,6,'Unknown','White_American','Male',2013/03/13,43.0104011,-75.0075119
4,3,6,'Unknown','White_American','Male',2013/02/19,33.54961059,-117.6415707
4,2,7,'Unknown','Black_American','Male',2013/02/03,33.67803464,-117.773628
3,1,3,'Unknown','White_American','Male',2013/01/30,33.57145875,-112.0904854
5,0,5,'Unknown','Other','Male',2013/01/19,35.15290522,-106.7791378
28,2,29,'Unknown','White_American','Male',2012/12/14,41.41190846,-73.31196267
3,1,3,'Unknown','Other','Male',2012/12/11,45.44853107,-122.5440133
7,4,10,'Unknown','White_American','Male',2012/08/05,42.88027442,-87.90087079
3,3,6,'Unknown','Black_American','Male',2012/06/09,32.60598014,-85.48989253
6,1,6,'Unknown','White_American','Male',2012/05/30,47.62199575,-122.323646
3,3,6,'Unknown','White_American','Male',2012/02/27,41.58025541,-81.20812625
5,0,5,'Unknown','Black_American','Male',2012/01/29,33.5282865,-86.79550448
8,1,9,'Unknown','White_American','Male',2011/10/12,33.75432632,-118.0715378
8,2,9,'Unknown','Black_American','Male',2011/07/07,42.96920434,-85.66008902
1,3,4,'Unknown','White_American','Male',2011/04/06,32.66240106,-85.37706931
1,11,12,'Unknown','Black_American','Male',2011/02/06,41.09933958,-80.64631705
0,3,6,'Unknown','White_American','Female',2010/02/12,34.72827538,-86.6723055
4,1,5,'Unknown','Black_American','Male',2009/11/29,47.155846,-122.437031
5,0,4,'Unknown','Black_American','Male',2009/11/29,47.16267579,-122.5296574
6,1,6,'Unknown','Asian_American','Male',2009/03/29,37.36463172,-121.9679315
8,2,10,'Unknown','White_American','Male',2009/03/29,35.33985609,-79.41381725
11,6,16,'Unknown','White_American','Male',2009/03/10,31.04367594,-85.8763466
10,2,11,'Unknown','White_American','Male',2008/12/24,34.09026669,-117.8819958
0,3,3,'Unknown','Black_American','Male',2008/07/24,33.57145875,-112.0904854
7,1,7,'Unknown','White_American','Male',2008/06/25,37.84040411,-87.57853755
6,2,7,'Unknown','Black_American','Male',2008/02/07,38.57889169,-90.42023754
6,0,6,'Unknown','White_American','Male/Female',2007/12/24,47.64628742,-121.9088524
0,6,6,'Unknown','Black_American','Male',2007/12/11,36.18931923,-115.3264875
5,5,9,'Unknown','White_American','Male',2007/12/09,39.81087474,-105.173715
0,4,4,'Yes','Black_American','Male',2007/10/25,43.41929117,-83.95032759
1,4,4,'Yes','White_American','Male',2007/10/11,41.47657557,-81.68051502
6,4,9,'Yes','White_American','Male',2007/02/12,40.77787404,-111.9312168
6,5,10,'Yes','White_American','Male',2006/10/02,40.04214385,-76.30100872
0,5,5,'Yes','Black_American','Male',2006/09/17,40.43948548,-79.97631581
1,2,3,'Yes','Other','Male',2006/08/30,36.04099857,-79.09701201
2,2,4,'Yes','Black_American','Male',2006/08/24,44.49022039,-73.11400628
8,0,7,'Yes','White_American','Female',2006/01/30,34.43606107,-119.8593619
10,5,14,'Yes','Native_American','Male',2005/03/21,47.87067289,-95.00529009
3,4,6,'Yes','Other','Male',2005/02/24,32.3154272,-95.30501087
5,7,11,'Yes','White_American','Male',2004/12/08,39.98861445,-82.98904135
6,2,8,'Yes','Asian_American','Male',2004/11/21,45.65773714,-91.55077175
7,0,6,'Yes','Other','Male',2003/08/27,41.83928045,-87.68818145
1,2,3,'Yes','Asian_American','Male',2003/05/09,41.47657557,-81.68051502
6,4,9,'Yes','Black_American','Male',2001/02/05,41.90289602,-87.8643021
